"","zip_code","id","name","is_closed","review_count","rating","price","distance","latitude","longitude","city","state","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate"
"78","31909","BWsw5n4lFaFZR59nvtfsQA","Mellow Mushroom",FALSE,125,4,2,4979.03914206369,32.53238,-84.95457,"Columbus","GA",0.04,0.03,0,0.01,0.08
"79","31909","UiNvacIgCQczaaBfUQVqUQ","Zoes Kitchen",FALSE,100,4,2,5910.94589458678,32.5423612055238,-84.9498081207275,"Columbus","GA",0.04,0.03,0,0.01,0.08
"80","31904","GARgMgXOxIR_e_Q67PlkRg","Chick-fil-A",FALSE,31,4.5,1,3835.01101287883,32.5318211,-84.968097,"Columbus","GA",0.04,0.03,0,0.01,0.08
"81","31901","KW9vZ_-IFEHTxkd05RHOnw","Ruth Ann's Restaurant",FALSE,160,3.5,2,5605.84011767446,32.464521,-84.987779,"Columbus","GA",0.04,0.03,0,0.01,0.08
"82","31904","7lxgVLltIFcFHBhJyC1iWQ","Juice Bar",FALSE,40,4.5,1,4453.58163519983,32.5202280182431,-84.9558484792165,"Columbus","GA",0.04,0.03,0,0.01,0.08
"83","31901","3QbwgnKND7FFfVWuOu65qg","Smoke Bourbon and BBQ",FALSE,155,3.5,2,5276.43567135238,32.46653,-84.99372,"Columbus","GA",0.04,0.03,0,0.01,0.08
"84","31901","xgN6r38UddWzpTf4bQoReA","Chili Thai - Uptown",FALSE,151,3.5,2,5438.13188341023,32.4649481818605,-84.9943511955893,"Columbus","GA",0.04,0.03,0,0.01,0.08
"85","31903","0-1C7aRVd_4TIGMH3n_k4Q","La Mexicana",FALSE,202,4,1,10378.2251549229,32.4304809570312,-84.9518966674805,"Columbus","GA",0.04,0.03,0,0.01,0.08
"86","31906","UkY6etKuI0Rsr4kwwPgdNQ","Skippers Seafood",FALSE,114,4.5,2,8781.45365502827,32.45738,-84.93662,"Columbus","GA",0.04,0.03,0,0.01,0.08
"87","31904","J9gSPIw93ZWhU34JHemHTg","Wheelys Cafe & General Store",FALSE,28,4.5,1,4375.03739137567,32.5224769925515,-84.9572525918484,"Columbus","GA",0.04,0.03,0,0.01,0.08
"88","31909","ClhGxW--OdGJO0MFNY3GPg","Koreana",FALSE,100,4,2,7526.95740337094,32.52898,-84.92455,"Columbus","GA",0.04,0.03,0,0.01,0.08
"89","31901","a4koKlWjA4pBMslYiCAOwg","Vertigo Fusion Kitchen",FALSE,38,4.5,2,5063.61379196082,32.46893,-84.9908,"Columbus","GA",0.04,0.03,0,0.01,0.08
"90","31906","E6uU7ju9mtq2QDT13-66vA","Bodega 1205",FALSE,21,4.5,2,1031.72611150803,32.468974,-84.992068,"Columbus","GA",0.04,0.03,0,0.01,0.08
"91","31901","GzpCUYihvYiniFVPtzasWQ","Freeze Frame Yogurt",FALSE,39,4,1,1195.77595462618,32.466899,-84.992812,"Columbus","GA",0.04,0.03,0,0.01,0.08
"92","31901","-tY4zKlLO7EdARbT-QBKaQ","Scruffy Murphy's Irish Pub & Eatery",FALSE,75,3.5,2,1232.19248669345,32.466211,-84.993724,"Columbus","GA",0.04,0.03,0,0.01,0.08
"93","31906","sOJb4zVSiQHSqLPFx-PXkg","Country Life Vegetarian Restaurant & Natural Food Store",FALSE,41,4.5,1,3348.9950170005,32.4694595,-84.9637527,"Columbus","GA",0.04,0.03,0,0.01,0.08
"94","31903","awX9hdWIp9857vKdYXi5iw","Rose's Caribbean Restaurant",FALSE,100,4.5,1,4086.67076652906,32.4116439819336,-84.9440994262695,"Columbus","GA",0.04,0.03,0,0.01,0.08
"95","31906","-d7UHCR19UnwKRdeJYEXtg","Golden Chopsticks",FALSE,71,4,2,4001.34910435329,32.44564,-84.93002,"Columbus","GA",0.04,0.03,0,0.01,0.08
"96","31903","QKoqo8K5QpjxXHWh9_FESg","CC's Place",FALSE,39,4.5,1,3755.84677715838,32.41875,-84.94066,"Columbus","GA",0.04,0.03,0,0.01,0.08
"97","31907","0WdVVbUBtlTVDYOKYMUbSg","Mercy's Jamaican Kitchen",FALSE,81,5,2,12248.7237051038,32.5241310452313,-84.8888753727078,"Columbus","GA",0.04,0.03,0,0.01,0.08
"98","31901","lNCm7TJzipIupoSXBTkejg","Jordan Girls Gourmet Dawgs",FALSE,11,5,1,2839.80729076685,32.4612160412142,-84.9879638850689,"Columbus","GA",0.04,0.03,0,0.01,0.08
"99","31901","8x5Yy6-tca9GCe2UsXNujA","Chester's Barbeque",FALSE,53,3.5,1,2451.84061276372,32.4568748474121,-84.9880065917969,"Columbus","GA",0.04,0.03,0,0.01,0.08
"100","31903","Z9cChWAZ-oJ7phCYMX6dKg","Seoul Garden Restaurant",FALSE,48,3.5,2,5093.84133189249,32.4166839017441,-84.9519219479546,"Columbus","GA",0.04,0.03,0,0.01,0.08
"101","31903","OHAKbMovH0dXNCHKc531Uw","Tacos El Paisa",FALSE,21,4,1,5818.67620551916,32.4218383621976,-84.9471624568105,"Columbus","GA",0.04,0.03,0,0.01,0.08
"102","31903","Yg6bbICXLjgMdAcHdUxguA","Vallarta Mexican Restaurant",FALSE,44,3.5,2,5635.53801949796,32.416103258729,-84.9412109702826,"Columbus","GA",0.04,0.03,0,0.01,0.08
"103","31903","HtQrZMCLiTOgyv39Es15TQ","Fife and Drum",FALSE,32,3,2,8474.99584608885,32.3893815,-84.9552696,"Columbus","GA",0.04,0.03,0,0.01,0.08
"104","31903","FgFFEupvAxYsjJwRuFbbrA","Borinquen Foods",FALSE,13,4,1,11128.6741179047,32.415664,-84.952857,"Columbus","GA",0.04,0.03,0,0.01,0.08
"105","31905","VqHKHvqx9quaGw5GjIRFoA","El Zapata Mexican Restaurant",FALSE,34,2,2,3996.80150725342,32.351043,-84.974745,"Fort Benning","GA",0.04,0.03,0,0.01,0.08
"106","31903","R0I45oSTKORp3AmQWMP2vg","Shark's Fish & Chicken - Chicago Style",FALSE,19,3.5,1,11533.0317268587,32.415279828742,-84.9429228901863,"Columbus","GA",0.04,0.03,0,0.01,0.08
"107","31905","pYB7SeUy7qbeLYaF1Z0deg","Zaxby's Chicken Fingers & Buffalo Wings",FALSE,18,2.5,1,5488.3291048983,32.3607299,-84.9624599,"Fort Benning","GA",0.04,0.03,0,0.01,0.08
"108","31903","-MFTpxc4DKgLncMUvWPlBA","BTJ Wings",FALSE,12,3.5,1,11957.5163777148,32.420504,-84.944703,"Columbus","GA",0.04,0.03,0,0.01,0.08
"109","31903","SBneVZUDy7ZVITcq3Resqw","Waffle House",FALSE,10,3.5,1,11023.6751530521,32.4064808928565,-84.9368191607406,"Columbus","GA",0.04,0.03,0,0.01,0.08
"110","31903","AvLnt6Q0z9SwYpSKUE-9-A","WNB Factory Wings & Burger",FALSE,15,3,1,11472.2376373001,32.4150836852218,-84.943810030818,"Columbus","GA",0.04,0.03,0,0.01,0.08
"111","31903","eC3TTfI9KO0TZ9PhVcgHaA","Friends Wing Town",FALSE,8,4,1,12291.1529562762,32.42627,-84.9505,"Columbus","GA",0.04,0.03,0,0.01,0.08
"112","31903","XERyR_mSat1Kv_7m5Gq3Fw","Orient Express",FALSE,14,3,1,11087.4869139513,32.4098052978516,-84.9414672851562,"Columbus","GA",0.04,0.03,0,0.01,0.08
"113","31903","aLGttIEEaPomiAbOZIygWQ","Hot Wing Connections",FALSE,4,4,1,11648.8640676804,32.41989,-84.95137,"Columbus","GA",0.04,0.03,0,0.01,0.08
"114","31905","SeXkTfWYlvv4sRBF68LjiA","Dunkin'",FALSE,31,1.5,1,5615.28921647693,32.3636353,-84.963706,"Fort Benning","GA",0.04,0.03,0,0.01,0.08
"115","31903","mkXG96Wf5c7PYrdRpSKwwQ","CHINA DRAGON EXPRESS",FALSE,21,2,1,11126.8474493437,32.41597,-84.95237,"Columbus","GA",0.04,0.03,0,0.01,0.08
"116","31905","_W_3FM0e4zc4bzR8XSpdfQ","Java Cafe",FALSE,4,3,1,5374.38398072272,32.3601220915208,-84.9647510424256,"Cusseta","GA",0.04,0.03,0,0.01,0.08
