"","review_count","rating","price","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","id","distance","state","longitude","latitude"
"eqIykLVBNDe4aP0VKL9CPA",-155.280278113883,-0.652263253937793,0.242821038590601,0.02275,-0.0025,-0.01375,-0.00125,0.00525,"eqIykLVBNDe4aP0VKL9CPA",1219.95970573658,"KS",-94.6215672,39.0442663
"KRi6zo2Np6our-JWw0mwcg",72.3014514721723,-0.334645886350057,0,-0.00249999999999999,0.0125,0,0,0.01,"KRi6zo2Np6our-JWw0mwcg",1359.71139095018,"OH",-84.5121063991844,39.097040304033
"5m-SlrdqOqZduQuWigYXlg",-58.6615392087567,-0.834310079842827,0,-0.0025,0.0125,0,0,0.01,"5m-SlrdqOqZduQuWigYXlg",1606.26157028672,"OH",-84.5093380006117,39.0975953698479
"xYoA9Tv1WLQNwUsrSebKFA",18.0315462909731,0.655333453924533,-1,-0.0625,0,0,0,-0.0625,"xYoA9Tv1WLQNwUsrSebKFA",1299.82377737325,"NH",-71.4406944438815,42.7064139292533
"0zZaWUmYVx0saKy-lxmZ9A",44.5905933311628,0.624488045924437,2.22044604925031e-16,-0.0625,0,0,0,-0.0625,"0zZaWUmYVx0saKy-lxmZ9A",1289.41739937191,"NH",-71.438571,42.70145
"J5leu7wycQ_7cyC50z6CtA",250.820330542821,1.17332766092381,0,-0.0625,0,0,0,-0.0625,"J5leu7wycQ_7cyC50z6CtA",923.02273425243,"NH",-71.4577570882935,42.7082255043554
"knFmyefXsfGBXVILbw_GwA",63.9276797836085,0.160499555976851,0,-0.0625,0,0,0,-0.0625,"knFmyefXsfGBXVILbw_GwA",1304.72875082464,"NH",-71.4417,42.70788
"i2_ZyAVw5vn1G16nzAR8vw",-69.5470460981169,0.132772260820103,0,-0.0625,0,0,0,-0.0625,"i2_ZyAVw5vn1G16nzAR8vw",1015.66389090974,"NH",-71.442799,42.7038348
"pnUm843oQwRVVOcq_i_p3A",8.31944716642423,0.18203994166174,0,-0.0625,0,0,0,-0.0625,"pnUm843oQwRVVOcq_i_p3A",1358.93565901067,"NH",-71.467755,42.707487
"1V1RO4-7yskUaOYCTv9Kvw",-101.487859088734,-0.318830285913102,0,-0.0625,0,0,0,-0.0625,"1V1RO4-7yskUaOYCTv9Kvw",1406.07763706125,"NH",-71.4664037525654,42.7060709148645
"vGSWIEk0_0FUvbo1nApMCQ",-118.365352547589,-1.09430303216183,-1,-0.0625,0,0,0,-0.0625,"vGSWIEk0_0FUvbo1nApMCQ",440.656368681655,"NH",-71.200426,42.7449839
"iOrb7_q6FEddcrIRFj1SZQ",-124.469152584147,0.421866386738079,-1,-0.0625,0,0,0,-0.0625,"iOrb7_q6FEddcrIRFj1SZQ",498.960396091749,"NH",-71.1983371171288,42.7424298669905
"Mf6wAmVzVOkguOZjZrmvMw",-123.499868565758,-0.0847228937544489,-1,-0.0625,0,0,0,-0.0625,"Mf6wAmVzVOkguOZjZrmvMw",499.542788379114,"NH",-71.19864,42.74306
"xQpZMDskgtuGm04Wr_Z03g",-63.9251938913301,0.3606955216185,-0.721391043237001,0.00750000000000001,0,0,0,0.00750000000000001,"xQpZMDskgtuGm04Wr_Z03g",671.842647081095,"RI",-71.3719496,41.8927248
"pjI3Xige-FX1ueGHxt4PjQ",-7.65521258750266,0.822510792123083,-0.423717314247057,0.00750000000000001,0,0,0,0.00750000000000001,"pjI3Xige-FX1ueGHxt4PjQ",1072.29550460203,"RI",-71.5266494750977,42.0136489868164
"uqzp9jHeLAjMbeNE2SRoGg",-20.6914838507132,0,-0.659152783195141,0.00750000000000001,0,0,0,0.00750000000000001,"uqzp9jHeLAjMbeNE2SRoGg",1300.24195714146,"RI",-71.5056199,42.0067499
"AvESmDSy5wK46L5oNbVQBg",13,0,0,0,0,0,0,0,"AvESmDSy5wK46L5oNbVQBg",1497.37287892094,"MD",-76.3494808686848,39.7113299800992
"5v2l17WQ10SpLpQ7z8HsUA",3,1,1,-0.055,0,0,0,-0.055,"5v2l17WQ10SpLpQ7z8HsUA",1520.00810037163,"NH",-70.8643,43.26443
"j2Yzt3aynRbUhrz34OyVMA",27,-0.5,1,-0.055,0,0,0,-0.055,"j2Yzt3aynRbUhrz34OyVMA",1585.57199287793,"NH",-70.86365,43.26393
"TXSuRkB0QFZOgE6PQ-TjPw",21,-1,0,-0.055,0,0,0,-0.055,"TXSuRkB0QFZOgE6PQ-TjPw",1543.74628247007,"NH",-70.863774,43.264409
"TB0R6IGIlw-NUJipSwX7GQ",11.0137572289404,-0.268701645040755,0.462596709918489,0.0025,-0.015,0,0,-0.0125,"TB0R6IGIlw-NUJipSwX7GQ",1545.73953113083,"MI",-83.4625118225813,41.7343062942256
"HNQi7kEZFL5sNKZfUCfkLg",122.378455362046,0.00207398537842929,0.0769830442211945,0.01875,0,-0.0125,0.0025,0.00875000000000002,"HNQi7kEZFL5sNKZfUCfkLg",150.100605989163,"MN",-97.0279846191406,47.9286460876465
"PIhPNrUL69_kajBZFIOqtw",16.8608837846169,-0.999834632554677,0.0753134500157837,0.01875,0,-0.0125,0.0025,0.00875000000000002,"PIhPNrUL69_kajBZFIOqtw",181.796793114098,"MN",-97.0271582,47.9282592
"i8Zs37AF2Jwt4dGNIpX9wQ",12.0210620315551,-0.406304885434823,0.169113479769334,0.01875,0,-0.0125,0.0025,0.00875000000000001,"i8Zs37AF2Jwt4dGNIpX9wQ",1401.61819691041,"MN",-97.019230350852,47.9382412880659
"V5K1DTCVImQZDKrxj7XNVg",3.68161959917538,0.0302684502841557,0.106024669529912,0.01875,0,-0.0125,0.0025,0.00875000000000001,"V5K1DTCVImQZDKrxj7XNVg",489.407227150346,"MN",-97.0236846064776,47.9294093546675
"BqdickgXLplTqj6r6DIigg",-4.53809176576102,-0.990583634488629,0.0845797504907608,0.01875,0,-0.0125,0.0025,0.00874999999999999,"BqdickgXLplTqj6r6DIigg",212.47836996897,"MN",-97.0272903442383,47.9289283752441
"MuMUa15y8sQBs4XziN5o2Q",-0.185242878444747,-0.996311894942842,0.0790043198852526,0.01875,0,-0.0125,0.0025,0.00875000000000002,"MuMUa15y8sQBs4XziN5o2Q",206.146207445166,"MN",-97.0268973,47.9284095
"IVjh2e-FQl19h6OJIgP95w",-25.4543166942517,-0.498998835689505,0.0758813084590064,0.01875,0,-0.0125,0.0025,0.00875000000000001,"IVjh2e-FQl19h6OJIgP95w",166.242152620375,"MN",-97.0277481079102,47.9285125732422
"Fah71wxIZ9KjtmNvybSyWw",-27.9857426749085,-0.580813383484265,0.0484765692227596,0.01875,0,-0.0125,0.0025,0.00875000000000001,"Fah71wxIZ9KjtmNvybSyWw",169.322003265636,"MN",-97.0270056,47.9283422
"-uj5QThDQwNHmGNGxNDxwQ",14.0256973006,1.5,0,-0.0125,0.01,0,-0.01,-0.0125,"-uj5QThDQwNHmGNGxNDxwQ",755.262706792982,"NC",-81.4499844558197,35.1691906629231
"mzUOAndbHwbNacmqC0hDOA",-4,1,0,0.06,0,0,0,0.06,"mzUOAndbHwbNacmqC0hDOA",311.286931631081,"VT",-72.2432609,43.8911615
"8yUnVzR98rVvqRrR7KVwZA",27,0,0,0.06,0,0,0,0.06,"8yUnVzR98rVvqRrR7KVwZA",198.711905992343,"VT",-72.1468004725014,43.9053420809075
"sbp6yEHzsVkxZpeBukQt1g",3,0,-1,0.06,0,0,0,0.06,"sbp6yEHzsVkxZpeBukQt1g",187.333175693661,"VT",-72.146936,43.905253
"hIMsSVy6HRgOfVRIModuLw",-14,0,0,0.06,0,0,0,0.06,"hIMsSVy6HRgOfVRIModuLw",867.700638495726,"VT",-72.1572276084066,43.9005988693012
"QebkgsslYsNnz1udcBfGmw",-19,0.5,-1,0.06,0,0,0,0.06,"QebkgsslYsNnz1udcBfGmw",497.769216470899,"VT",-72.153205,43.902381
"S4nZ-12Uqdw9u-xU8MSsBQ",81.2215050807885,-0.747386800751735,0.140192655900107,0.02625,-0.04,0,-0.00375,-0.0175,"S4nZ-12Uqdw9u-xU8MSsBQ",1466.09853866334,"NJ",-74.1525599,41.10225
"EUbrkJksUkZ--mkUf5hDSw",-6.93819948463666,-0.76174911435635,0.197227185555441,0.02625,-0.04,0,-0.00375,-0.0175,"EUbrkJksUkZ--mkUf5hDSw",1247.86582635855,"NJ",-74.1497475,41.1070588
"WfjPwLcf5mchCrni8x58-g",-91.1539403742156,0.757402566641669,-0.887125139718601,0.02625,-0.04,0,-0.00375,-0.0175,"WfjPwLcf5mchCrni8x58-g",1027.46334775665,"NJ",-74.1613840083154,41.1041528322567
"6KjYsP75QBIkeVrEzNUkUQ",-75.1429911531165,0.241656693606962,-0.814509203577608,0.02625,-0.04,0,-0.00375,-0.0175,"6KjYsP75QBIkeVrEzNUkUQ",1334.68939081189,"NJ",-74.1490726,41.1062494
"y70OUSmBUeF0VM5nwIT6hQ",33.621001816251,-1.26910779143582,0.200813587374521,0.02625,-0.04,0,-0.00375,-0.0175,"y70OUSmBUeF0VM5nwIT6hQ",107.791983000212,"NJ",-74.148958,41.106698
"1cRwpGzJkcF4BKcYewMp_g",92.6955332824779,-0.0900368230742075,-0.0154195597084552,0.02625,-0.04,0,-0.00375,-0.0175,"1cRwpGzJkcF4BKcYewMp_g",312.046213180793,"NJ",-73.945519,41.013663
"uL4OAO0xUkm3c4EsHPoM6Q",-39.0083437907138,0.38281020535926,-0.01280523196121,0.02625,-0.04,0,-0.00375,-0.0175,"uL4OAO0xUkm3c4EsHPoM6Q",664.887077361992,"NJ",-73.951741,41.017567
"MFcMjUOAX6ThNMHyojCAew",83.7407610057136,0.385909864819252,-0.00802626064943324,0.02625,-0.04,0,-0.00375,-0.0175,"MFcMjUOAX6ThNMHyojCAew",1243.49113782391,"NJ",-73.944571,41.005055
"2fTT-vnlcJp5o5r_tzYCVA",-55.7417650346888,-0.113715314883815,-1.00810330273851,0.02625,-0.04,0,-0.00375,-0.0175,"2fTT-vnlcJp5o5r_tzYCVA",963.316351203016,"NJ",-73.94781,41.00801
